Local time,Open,High,Low,Close,Volume
07.05.2017 05:00:00.000 GMT+0800,1559,1559,1559,1559,0
08.05.2017 05:00:00.000 GMT+0800,1559,1681,1557,1658,1872.0439000000001
09.05.2017 05:00:00.000 GMT+0800,1658,1753,1626,1747,1330.1358
10.05.2017 05:00:00.000 GMT+0800,1713,1769,1677,1752,1916.8946
11.05.2017 05:00:00.000 GMT+0800,1784,1887,1777,1857,1613.5204999999996
12.05.2017 05:00:00.000 GMT+0800,1836,1836,1651,1692,2550.4275
13.05.2017 05:00:00.000 GMT+0800,1692,1692,1692,1692,0
14.05.2017 05:00:00.000 GMT+0800,1692,1692,1692,1692,0
15.05.2017 05:00:00.000 GMT+0800,1799,1803,1714,1734,1394.4092
16.05.2017 05:00:00.000 GMT+0800,1740,1782,1710,1770,2188.2412
17.05.2017 05:00:00.000 GMT+0800,1770,1856,1746,1817,4243.7267
18.05.2017 05:00:00.000 GMT+0800,1812,1887,1795,1884,2807.5417999999995
19.05.2017 05:00:00.000 GMT+0800,1884,1963,1869,1938,2073.4638999999997
20.05.2017 05:00:00.000 GMT+0800,1938,1938,1938,1938,0
21.05.2017 05:00:00.000 GMT+0800,1938,1938,1938,1938,0
22.05.2017 05:00:00.000 GMT+0800,2022,2299,1999,2151,3312.5916
23.05.2017 05:00:00.000 GMT+0800,2152,2272,1990,2217,2575.2248
24.05.2017 05:00:00.000 GMT+0800,2234,2450,2195,2430,2306.0182999999997
25.05.2017 05:00:00.000 GMT+0800,2424,2801,2226,2468,2743.5015
26.05.2017 05:00:00.000 GMT+0800,2485,2679,2243,2243,3302.2664999999997
27.05.2017 05:00:00.000 GMT+0800,2243,2243,2243,2243,0
28.05.2017 05:00:00.000 GMT+0800,2243,2243,2243,2243,0
29.05.2017 05:00:00.000 GMT+0800,2120,2353,2093,2307,4912.147800000001
30.05.2017 05:00:00.000 GMT+0800,2313,2370,2211,2252,5176.4151
31.05.2017 05:00:00.000 GMT+0800,2261,2337,2134,2287,4993.1794
01.06.2017 05:00:00.000 GMT+0800,2287,2490,2280,2411,2756.1435000000006
02.06.2017 05:00:00.000 GMT+0800,2413,2450,2374,2432,3177.8063
03.06.2017 05:00:00.000 GMT+0800,2432,2432,2432,2432,0
04.06.2017 05:00:00.000 GMT+0800,2432,2432,2432,2432,0
05.06.2017 05:00:00.000 GMT+0800,2506,2630,2504,2625,1808.5679
06.06.2017 05:00:00.000 GMT+0800,2690,2941,2690,2872,2329.1957000000007
07.06.2017 05:00:00.000 GMT+0800,2872,2886,2739,2739,3008.7092
08.06.2017 05:00:00.000 GMT+0800,2740,2813,2612,2750,2848.8446
09.06.2017 05:00:00.000 GMT+0800,2750,2863,2749,2835,2320.3100000000004
10.06.2017 05:00:00.000 GMT+0800,2835,2835,2835,2835,0
11.06.2017 05:00:00.000 GMT+0800,2835,2835,2835,2835,0
12.06.2017 05:00:00.000 GMT+0800,2923,3003,2449,2547,1536.8653000000002
13.06.2017 05:00:00.000 GMT+0800,2657,2788,2638,2702,2226.1437
14.06.2017 05:00:00.000 GMT+0800,2703,2819,2523,2553,1413.3011999999999
15.06.2017 05:00:00.000 GMT+0800,2553,2559,2077,2363,2589.3264
16.06.2017 05:00:00.000 GMT+0800,2362,2526,2304,2488,2670.0281
17.06.2017 05:00:00.000 GMT+0800,2488,2488,2488,2488,0
18.06.2017 05:00:00.000 GMT+0800,2488,2488,2488,2488,0
19.06.2017 05:00:00.000 GMT+0800,2470,2587,2460,2580,2852.2640000000006
20.06.2017 05:00:00.000 GMT+0800,2597,2777,2586,2750,2295.7325
21.06.2017 05:00:00.000 GMT+0800,2750,2781,2637,2660,1924.5131000000001
22.06.2017 05:00:00.000 GMT+0800,2661,2729,2571,2672,2318.0816999999997
23.06.2017 05:00:00.000 GMT+0800,2672,2736,2664,2708,2294.8345000000004
24.06.2017 05:00:00.000 GMT+0800,2708,2708,2708,2708,0
25.06.2017 05:00:00.000 GMT+0800,2708,2708,2708,2708,0
26.06.2017 05:00:00.000 GMT+0800,2473,2561,2256,2356,2290.4498
27.06.2017 05:00:00.000 GMT+0800,2349,2470,2269,2458,3053.9346
28.06.2017 05:00:00.000 GMT+0800,2458,2599,2428,2595,2186.3666999999996
29.06.2017 05:00:00.000 GMT+0800,2595,2605,2503,2559,2302.0244999999995
30.06.2017 05:00:00.000 GMT+0800,2558,2568,2482,2504,1907.2064000000003
01.07.2017 05:00:00.000 GMT+0800,2504,2504,2504,2504,0
02.07.2017 05:00:00.000 GMT+0800,2504,2504,2504,2504,0
03.07.2017 05:00:00.000 GMT+0800,2499,2585,2476,2558,1877.5443000000002
04.07.2017 05:00:00.000 GMT+0800,2558,2642,2545,2577,1820.1933
05.07.2017 05:00:00.000 GMT+0800,2577,2623,2548,2612,1832.8000000000002
