Local time,Open,High,Low,Close,Volume
04.05.2003 21:00:00.000 GMT+0800,1.34441,1.34441,1.34441,1.34441,0
05.05.2003 01:00:00.000 GMT+0800,1.34441,1.34441,1.34441,1.34441,0
05.05.2003 05:00:00.000 GMT+0800,1.34441,1.34524,1.34308,1.34346,32046.7002
05.05.2003 09:00:00.000 GMT+0800,1.34377,1.34672,1.34353,1.34572,31066.799799999997
05.05.2003 13:00:00.000 GMT+0800,1.34581,1.34905,1.34511,1.34830,30466.199699999997
05.05.2003 17:00:00.000 GMT+0800,1.34817,1.34966,1.34670,1.34867,31758.5996
05.05.2003 21:00:00.000 GMT+0800,1.34855,1.34948,1.34117,1.34351,88658.6016
06.05.2003 01:00:00.000 GMT+0800,1.34345,1.34418,1.34118,1.34232,113194.6006
06.05.2003 05:00:00.000 GMT+0800,1.34253,1.34340,1.34093,1.34172,30901.7002
06.05.2003 09:00:00.000 GMT+0800,1.34157,1.34411,1.34132,1.34290,31522.5996
06.05.2003 13:00:00.000 GMT+0800,1.34267,1.34435,1.33707,1.33735,30383.7998
06.05.2003 17:00:00.000 GMT+0800,1.33714,1.33893,1.33336,1.33472,31842.8003
06.05.2003 21:00:00.000 GMT+0800,1.33486,1.33791,1.33220,1.33334,86188.2007
07.05.2003 01:00:00.000 GMT+0800,1.33327,1.33521,1.32189,1.32418,113416.29980000001
07.05.2003 05:00:00.000 GMT+0800,1.32447,1.32642,1.32324,1.32536,30794.500500000002
07.05.2003 09:00:00.000 GMT+0800,1.32553,1.32757,1.32458,1.32581,30743.6997
07.05.2003 13:00:00.000 GMT+0800,1.32483,1.32993,1.32383,1.32914,30791.2993
07.05.2003 17:00:00.000 GMT+0800,1.32899,1.33153,1.32525,1.32606,31588.800300000003
07.05.2003 21:00:00.000 GMT+0800,1.32549,1.32970,1.32072,1.32631,89801.6001
08.05.2003 01:00:00.000 GMT+0800,1.32585,1.32682,1.32080,1.32179,111671.3008
08.05.2003 05:00:00.000 GMT+0800,1.32217,1.32625,1.32160,1.32412,31098.800300000003
08.05.2003 09:00:00.000 GMT+0800,1.32389,1.32791,1.32242,1.32734,30927.3999
08.05.2003 13:00:00.000 GMT+0800,1.32765,1.32993,1.32493,1.32624,31039.3003
08.05.2003 17:00:00.000 GMT+0800,1.32629,1.32808,1.31650,1.31650,32038.100599999998
08.05.2003 21:00:00.000 GMT+0800,1.31629,1.31740,1.30871,1.31706,88580.29879999999
09.05.2003 01:00:00.000 GMT+0800,1.31725,1.31725,1.31118,1.31219,112756.8984
09.05.2003 05:00:00.000 GMT+0800,1.31262,1.31573,1.30796,1.31024,31240.999499999998
