Local time,Open,High,Low,Close,Volume
04.05.2003 21:00:00.000 GMT+0800,1.34371,1.34371,1.34371,1.34371,0
05.05.2003 01:00:00.000 GMT+0800,1.34371,1.34371,1.34371,1.34371,0
05.05.2003 05:00:00.000 GMT+0800,1.34371,1.34494,1.34298,1.34322,30749.3999
05.05.2003 09:00:00.000 GMT+0800,1.34361,1.34653,1.34333,1.34542,31195.1006
05.05.2003 13:00:00.000 GMT+0800,1.34571,1.34885,1.34494,1.34820,30622.8994
05.05.2003 17:00:00.000 GMT+0800,1.34807,1.34956,1.34646,1.34847,29877.6001
05.05.2003 21:00:00.000 GMT+0800,1.34835,1.34938,1.34107,1.34331,88632.6719
06.05.2003 01:00:00.000 GMT+0800,1.34335,1.34408,1.34102,1.34202,115237.77339999999
06.05.2003 05:00:00.000 GMT+0800,1.34183,1.34320,1.34080,1.34148,30772.1001
06.05.2003 09:00:00.000 GMT+0800,1.34141,1.34391,1.34122,1.34260,31293.1997
06.05.2003 13:00:00.000 GMT+0800,1.34257,1.34411,1.33697,1.33725,29566.6001
06.05.2003 17:00:00.000 GMT+0800,1.33704,1.33877,1.33326,1.33452,32007.0005
06.05.2003 21:00:00.000 GMT+0800,1.33466,1.33773,1.33200,1.33314,86854.1753
07.05.2003 01:00:00.000 GMT+0800,1.33317,1.33497,1.32169,1.32388,113467.37400000001
07.05.2003 05:00:00.000 GMT+0800,1.32377,1.32623,1.32304,1.32512,31202.6001
07.05.2003 09:00:00.000 GMT+0800,1.32537,1.32733,1.32443,1.32551,29555.6997
07.05.2003 13:00:00.000 GMT+0800,1.32473,1.32983,1.32353,1.32904,30593.8003
07.05.2003 17:00:00.000 GMT+0800,1.32889,1.33133,1.32505,1.32586,31345.2759
07.05.2003 21:00:00.000 GMT+0800,1.32529,1.32957,1.32052,1.32611,89784.4522
08.05.2003 01:00:00.000 GMT+0800,1.32575,1.32662,1.32060,1.32149,116204.8008
08.05.2003 05:00:00.000 GMT+0800,1.32147,1.32604,1.32147,1.32388,30779.6001
08.05.2003 09:00:00.000 GMT+0800,1.32373,1.32777,1.32222,1.32704,31752.2002
08.05.2003 13:00:00.000 GMT+0800,1.32755,1.32983,1.32467,1.32614,30341.8003
08.05.2003 17:00:00.000 GMT+0800,1.32619,1.32784,1.31630,1.31630,32099.0996
08.05.2003 21:00:00.000 GMT+0800,1.31609,1.31710,1.30851,1.31686,88236.6001
09.05.2003 01:00:00.000 GMT+0800,1.31715,1.31715,1.31098,1.31189,114902.873
09.05.2003 05:00:00.000 GMT+0800,1.31192,1.31553,1.30779,1.31000,30440.600599999998
09.05.2003 09:00:00.000 GMT+0800,1.31070,1.31321,1.30762,1.31160,32084.351099999996
09.05.2003 13:00:00.000 GMT+0800,1.31149,1.31701,1.31008,1.31111,31182.7998
09.05.2003 17:00:00.000 GMT+0800,1.31109,1.31458,1.30756,1.31393,32941.8994
09.05.2003 21:00:00.000 GMT+0800,1.31303,1.31786,1.30906,1.31139,87909.9966
10.05.2003 01:00:00.000 GMT+0800,1.31147,1.31497,1.31026,1.31249,114501.7988
10.05.2003 05:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
10.05.2003 09:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
10.05.2003 13:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
10.05.2003 17:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
10.05.2003 21:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 01:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 05:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 09:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 13:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 17:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
11.05.2003 21:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
12.05.2003 01:00:00.000 GMT+0800,1.31249,1.31249,1.31249,1.31249,0
12.05.2003 05:00:00.000 GMT+0800,1.31302,1.31307,1.30369,1.30656,32204.6001
12.05.2003 09:00:00.000 GMT+0800,1.30668,1.30752,1.30474,1.30545,30777.099599999998
12.05.2003 13:00:00.000 GMT+0800,1.30561,1.30765,1.30117,1.30208,31604.2754
12.05.2003 17:00:00.000 GMT+0800,1.30222,1.30738,1.30050,1.30522,33082.3008
12.05.2003 21:00:00.000 GMT+0800,1.30528,1.31150,1.30293,1.31007,90961.25
13.05.2003 01:00:00.000 GMT+0800,1.31087,1.31299,1.30916,1.30969,113821.3994
13.05.2003 05:00:00.000 GMT+0800,1.30968,1.31435,1.30900,1.31344,31470.2002
13.05.2003 09:00:00.000 GMT+0800,1.31410,1.32011,1.31355,1.31605,32733.2754
13.05.2003 13:00:00.000 GMT+0800,1.31590,1.31699,1.30973,1.31477,30563.8999
13.05.2003 17:00:00.000 GMT+0800,1.31482,1.31668,1.31249,1.31393,32332.2007
13.05.2003 21:00:00.000 GMT+0800,1.31405,1.31856,1.31145,1.31569,87626.0244
14.05.2003 01:00:00.000 GMT+0800,1.31565,1.31739,1.31114,1.31416,114100.3994
14.05.2003 05:00:00.000 GMT+0800,1.31357,1.31460,1.31217,1.31445,31899.774900000004
14.05.2003 09:00:00.000 GMT+0800,1.31461,1.31801,1.31419,1.31475,31052.0996
14.05.2003 13:00:00.000 GMT+0800,1.31453,1.32148,1.31365,1.31398,32539.399400000002
14.05.2003 17:00:00.000 GMT+0800,1.31351,1.31770,1.31222,1.31574,31154.7754
14.05.2003 21:00:00.000 GMT+0800,1.31536,1.31630,1.31132,1.31475,88699.9731
15.05.2003 01:00:00.000 GMT+0800,1.31486,1.31553,1.31200,1.31518,113929.1728
15.05.2003 05:00:00.000 GMT+0800,1.31518,1.31932,1.31518,1.31870,32374.2002
15.05.2003 09:00:00.000 GMT+0800,1.31875,1.32185,1.31655,1.31913,31109.9751
